Year,Site,Plot,Trtmnt,Predator,Block,Burrow_I,Burrow_F,BurrowCh,Burrow,Cover_I,Cover_F,Cover,Biomass_F,Biomass,OM_I,OM_F,OMCh,OM,Nitrogen_I,Nitrogen_F,Nitrogen,Mineral_I,Mineral_F,MineralCh,Mineral
2015,Farm River,P6,Pred,1,Farm6,18,10,-8,-0.444444444,0.95,0.85,-0.105263158,499.9,4.999,0.269230769,0.282352941,0.013122172,0.048739496,0.009953958,0.008240511,-0.172137301,,,,
2015,Fence Creek,B1,Control,0,Fence1,22,13,-9,-0.409090909,0.9,0.85,-0.055555556,413.7,4.137,0.320552147,0.291139241,-0.029412906,-0.091757008,0.007296723,0.007567342,0.037087765,,,,
2015,Fence Creek,B2,Control,0,Fence2,30,13,-17,-0.566666667,0.9,0.85,-0.055555556,576.1,5.761,0.272727273,0.24742268,-0.025304593,-0.092783508,0.013282629,0.009207499,-0.306801447,,,,
2015,Fence Creek,B3,Control,0,Fence3,19,23,4,0.210526316,0.8,0.9,0.125,738,7.38,0.192821956,0.186738836,-0.00608312,-0.03154786,0.02997839,0.015050517,-0.497954455,,,,
2015,Fence Creek,B4,Control,0,Fence4,22,15,-7,-0.318181818,0.8,0.85,0.0625,752.1,7.521,0.427573062,0.191815857,-0.235757205,-0.551384608,0.015542062,0.007643776,-0.508187785,,,,
2015,Fence Creek,B5,Control,0,Fence5,32,38,6,0.1875,0.7,0.85,0.214285714,,,0.172073343,0.162337662,-0.009735681,-0.056578671,0.004387674,0.009341761,1.129092096,,,,
2015,Fence Creek,B6,Control,0,Fence6,22,24,2,0.090909091,0.65,0.8,0.230769231,666.9,6.669,0.153621068,0.136824324,-0.016796744,-0.109338805,0.011115073,0.017611664,0.584484859,,,,
2015,Fence Creek,O1,No Pred,-1,Fence1,19,18,-1,-0.052631579,0.6,0.85,0.416666667,601.4,6.014,0.212694126,0.24813154,0.035437414,0.166612095,0.003600461,0.013195156,2.664852057,,,,
2015,Fence Creek,O2,No Pred,-1,Fence2,23,21,-2,-0.086956522,0.8,0.85,0.0625,961.8,9.618,0.194425561,0.19874477,0.004319209,0.022215232,0.007263541,0.016164663,1.225451986,,,,
2015,Fence Creek,O3,No Pred,-1,Fence3,14,27,13,0.928571429,0.8,0.95,0.1875,766.5,7.665,0.174093264,0.174099485,6.22E-06,3.57E-05,0.008181069,0.013891377,0.697990423,,,,
2015,Fence Creek,O4,No Pred,-1,Fence4,29,22,-7,-0.24137931,0.85,0.85,0,660.4,6.604,0.183800623,0.191603875,0.007803252,0.042454981,0.003858035,0.017897538,3.639029234,,,,
2015,Fence Creek,O5,No Pred,-1,Fence5,47,17,-30,-0.638297872,0.7,0.6,-0.142857143,530.7,5.307,0.146496815,0.151358344,0.004861529,0.03318522,0.010856748,0.022115866,1.037061846,,,,
2015,Fence Creek,O6,No Pred,-1,Fence6,14,8,-6,-0.428571429,0.7,0.9,0.285714286,945.3,9.453,0.118733509,0.135197067,0.016463558,0.138659744,0.004366756,0.019929549,3.563924976,,,,
2015,Fence Creek,P1,Pred,1,Fence1,21,19,-2,-0.095238095,0.75,0.9,0.2,825.3,8.253,0.210382514,0.198347107,-0.012035407,-0.057207259,0.007337284,0.012216927,0.66504767,,,,
2015,Fence Creek,P2,Pred,1,Fence2,32,21,-11,-0.34375,0.7,0.95,0.357142857,792.2,7.922,0.192982456,0.202094241,0.009111785,0.047215613,0.004627695,0.00789712,0.706491102,,,,
2015,Fence Creek,P3,Pred,1,Fence3,23,17,-6,-0.260869565,0.85,0.8,-0.058823529,415.4,4.154,0.210652304,0.2,-0.010652304,-0.050568182,0.007106898,0.036626091,4.153597435,,,,
2015,Fence Creek,P4,Pred,1,Fence4,12,22,10,0.833333333,0.8,0.9,0.125,544,5.44,0.180904523,0.188457008,0.007552485,0.041748459,0.00486779,0.019642732,3.035246753,,,,
2015,Fence Creek,P5,Pred,1,Fence5,48,29,-19,-0.395833333,0.75,0.65,-0.133333333,342,3.42,0.141039237,0.176096631,0.035057394,0.24856483,0.004975546,0.013366285,1.686395507,,,,
2015,Fence Creek,P6,Pred,1,Fence6,20,8,-12,-0.6,0.65,0.85,0.307692308,452.1,4.521,0.12545018,0.139339675,0.013889495,0.110717219,0.00697648,0.047380263,5.791427861,,,,
2015,Hammonasset Beach,B1,Control,0,Hamm1,21,20,-1,-0.047619048,0.4,0.7,0.75,364.6,3.646,0.265803503,0.280122794,0.014319291,0.053871717,0.016545903,0.013477932,-0.185421776,,,,
2015,Hammonasset Beach,B2,Control,0,Hamm2,12,20,8,0.666666667,0.7,0.9,0.285714286,671.4,6.714,0.349315069,0.303511706,-0.045803363,-0.131123353,0.016794674,0.005938658,-0.646396371,,,,
2015,Hammonasset Beach,B3,Control,0,Hamm3,52,,-52,-1,0.7,,,502.2,5.022,0.117342537,0.132342007,0.01499947,0.127826365,0.01563038,0.005482838,-0.649219121,,,,
2015,Hammonasset Beach,B4,Control,0,Hamm4,71,68,-3,-0.042253521,0.15,0.3,1,176.6,1.766,0.136968928,0.130799605,-0.006169323,-0.04504177,0.021913972,0.001974275,-0.909907928,,,,
2015,Hammonasset Beach,B5,Control,0,Hamm5,37,,-37,-1,0.8,0.6,-0.25,432.5,4.325,0.163043478,0.172900494,0.009857016,0.060456365,0.005253939,0.003467952,-0.339932862,,,,
2015,Hammonasset Beach,O1,No Pred,-1,Hamm1,26,18,-8,-0.307692308,0.85,1,0.176470588,1677.5,16.775,0.199359488,0.179249448,-0.02011004,-0.100873253,0.008814629,0.008174354,-0.072637798,,,,
2015,Hammonasset Beach,O2,No Pred,-1,Hamm2,29,59,30,1.034482759,0.7,0.7,0,588.8,5.888,0.245579568,0.260536399,0.014956831,0.060904216,0.008421279,0.00584564,-0.305848922,,,,
2015,Hammonasset Beach,O3,No Pred,-1,Hamm3,21,4,-17,-0.80952381,0.8,0.95,0.1875,707.4,7.074,,0.159863946,0.159863946,,0.007573193,0.013404617,0.770008699,,,,
2015,Hammonasset Beach,O4,No Pred,-1,Hamm4,8,14,6,0.75,0.7,0.8,0.142857143,317.7,3.177,0.287841191,0.302734375,0.014893184,0.051740975,0.045825983,0.012525768,-0.726666686,,,,
2015,Hammonasset Beach,O5,No Pred,-1,Hamm5,46,28,-18,-0.391304348,0.55,0.65,0.181818182,376.9,3.769,0.185882353,0.203592814,0.017710461,0.095277796,0.003131859,0.009737474,2.10916774,,,,
2015,Hammonasset Beach,P1,Pred,1,Hamm1,48,31,-17,-0.354166667,0.3,0.7,1.333333333,700.9,7.009,0.168338421,0.196992481,0.02865406,0.170216994,0.019944382,0.005653792,-0.716522055,,,,
2015,Hammonasset Beach,P2,Pred,1,Hamm2,51,31,-20,-0.392156863,0.4,0.9,1.25,508.3,5.083,0.230691057,0.213817749,-0.016873308,-0.073142445,0.01197857,0.007622767,-0.363633014,,,,
2015,Hammonasset Beach,P3,Pred,1,Hamm3,11,6,-5,-0.454545455,0.85,0.9,0.058823529,566,5.66,0.186751796,0.185275081,-0.001476715,-0.007907367,0.052202085,0.009609274,-0.81592164,,,,
2015,Hammonasset Beach,P4,Pred,1,Hamm4,2,4,2,1,0.7,0.8,0.142857143,313.3,3.133,0.288273616,0.33976834,0.051494724,0.178631415,0.031113832,0.004655196,-0.850381772,,,,
2015,Hammonasset Beach,P5,Pred,1,Hamm5,26,30,4,0.153846154,0.1,0.9,8,1023.7,10.237,0.15076661,0.162426615,0.011660005,0.077338112,0.021908952,0.004737765,-0.78375211,,,,
2016,Farm River,B1,Control,0,Farm1,13,19,6,0.461538462,0.6,0.6,0,210.4,2.104,0.251043115,0.249565217,-0.001477898,-0.005887029,,,,0.049403865,0.033851416,-0.015552449,-0.314802273
2016,Farm River,B2,Control,0,Farm2,,3,,,0.1,0.8,7,201.4,2.014,0.213207547,0.227508651,0.014301104,0.067075975,,,,0.052271659,0.031566877,-0.020704782,-0.396099577
2016,Farm River,B3,Control,0,Farm3,48,,,,0.4,0.01,-0.975,,,,0.175665947,,,,,,0.049669895,,,
2016,Farm River,B4,Control,0,Farm4,7,17,10,1.428571429,0.85,0.9,0.058823529,266.1,2.661,0.454203262,0.176056338,-0.278146924,-0.61238425,,,,0.049490564,0.033137631,-0.016352933,-0.330425271
2016,Farm River,B5,Control,0,Farm5,10,18,8,0.8,0.7,0.85,0.214285714,271.6,2.716,0.440334129,0.149270483,-0.291063646,-0.661006329,,,,0.049099711,0.032489441,-0.01661027,-0.338296696
2016,Farm River,B6,Control,0,Farm6,,8,,,0.7,0.9,0.285714286,96.5,0.965,0.45492228,0.128923767,-0.325998513,-0.716602654,,,,0.050257879,0.033962732,-0.016295147,-0.324230694
2016,Farm River,O1,No Pred,-1,Farm1,61,18,-43,-0.704918033,0.5,0.7,0.4,370,3.7,0.187578419,0.206008584,0.018430165,0.09825312,,,,0.048864071,0.033906065,-0.014958006,-0.306114609
2016,Farm River,O2,No Pred,-1,Farm2,15,7,-8,-0.533333333,0.7,0.6,-0.142857143,287.1,2.871,0.183641975,0.211538462,0.027896487,0.151906921,,,,0.048638155,0.03292363,-0.015714525,-0.323090483
2016,Farm River,O3,No Pred,-1,Farm3,106,24,-82,-0.773584906,0.5,0.9,0.8,503.6,5.036,0.280172414,,-0.280172414,,,,,0.047263845,0.033424709,-0.013839136,-0.29280597
2016,Farm River,O4,No Pred,-1,Farm4,46,25,-21,-0.456521739,0.5,0.6,0.2,236,2.36,0.299678457,0.158184319,-0.141494138,-0.472153185,,,,0.048281729,0.034292732,-0.013988997,-0.289736869
2016,Farm River,O5,No Pred,-1,Farm5,,0,,,0.8,0.8,0,201.1,2.011,0.270332188,0.143767061,-0.126565127,-0.468183711,,,,0.048475455,0.031411058,-0.017064397,-0.352021389
2016,Farm River,O6,No Pred,-1,Farm6,0,7,,,0.5,0.7,0.4,107.9,1.079,0.347358121,0.131040892,-0.216317229,-0.622749882,,,,0.050434354,0.032514131,-0.017920223,-0.355317786
2016,Farm River,P1,Pred,1,Farm1,13,21,8,0.615384615,0.4,0.5,0.25,189.1,1.891,0.182682154,0.220560748,0.037878594,0.207346986,,,,0.047885233,0.035464455,-0.012420778,-0.259386396
2016,Farm River,P2,Pred,1,Farm2,57,7,-50,-0.877192982,0.7,0.5,-0.285714286,408,4.08,0.188888889,0.197135636,0.008246747,0.043659249,,,,0.05381572,0.034756026,-0.019059694,-0.35416592
2016,Farm River,P3,Pred,1,Farm3,96,21,-75,-0.78125,0.1,0.5,4,237.9,2.379,0.248378128,0.216600791,-0.031777337,-0.127939353,,,,0.048061985,0.034171907,-0.013890078,-0.289003419
2016,Farm River,P4,Pred,1,Farm4,102,21,-81,-0.794117647,0.3,0.7,1.333333333,499,4.99,0.275503971,0.206854345,-0.068649626,-0.249178354,,,,0.047024915,0.03274451,-0.014280405,-0.303677423
2016,Farm River,P5,Pred,1,Farm5,,0,,,0.3,0.6,1,204.4,2.044,0.211044286,0.147401086,-0.0636432,-0.301563246,,,,0.051345558,0.034087172,-0.017258386,-0.33612228
2016,Farm River,P6,Pred,1,Farm6,0,9,,,0.85,0.8,-0.058823529,245.5,2.455,0.243376463,0.12654925,-0.116827213,-0.480026752,,,,0.050823608,0.029491689,-0.021331919,-0.419724609
2016,Fence Creek,B1,Control,0,Fence1,26,3,-23,-0.884615385,0.6,0.8,0.333333333,265.2,2.652,0.310094408,,,,,,,0.055216256,0.032528732,-0.022687524,-0.410884867
2016,Fence Creek,B2,Control,0,Fence2,22,9,-13,-0.590909091,0.9,0.9,0,656.5,6.565,0.23943662,,,,,,,0.062284286,0.03282824,-0.029456046,-0.472929015
2016,Fence Creek,B3,Control,0,Fence3,42,26,-16,-0.380952381,0.85,0.8,-0.058823529,298.3,2.983,0.209030751,,,,,,,0.049302415,0.032018282,-0.017284133,-0.35057376
2016,Fence Creek,B4,Control,0,Fence4,56,16,-40,-0.714285714,0.8,0.85,0.0625,360.8,3.608,0.199660153,,,,,,,0.049099312,,,
2016,Fence Creek,B5,Control,0,Fence5,37,24,-13,-0.351351351,0.7,0.7,0,243.8,2.438,0.161721068,,,,,,,0.048587869,0.029840118,-0.018747751,-0.385852506
2016,Fence Creek,B6,Control,0,Fence6,46,19,-27,-0.586956522,0.6,0.9,0.5,476.7,4.767,0.14279661,,,,,,,0.04979811,0.03095191,-0.0188462,-0.378452114
2016,Fence Creek,O1,No Pred,-1,Fence1,16,10,-6,-0.375,0.8,0.95,0.1875,500.4,5.004,0.25,,,,,,,0.049076707,0.030112338,-0.018964369,-0.386423013
2016,Fence Creek,O2,No Pred,-1,Fence2,23,16,-7,-0.304347826,0.8,0.9,0.125,465.4,4.654,0.212145749,,,,,,,0.051108414,0.031240408,-0.019868006,-0.38874237
2016,Fence Creek,O3,No Pred,-1,Fence3,74,32,-42,-0.567567568,0.7,0.9,0.285714286,285.1,2.851,0.223824786,,,,,,,0.047557638,0.029333694,-0.018223944,-0.383196996
2016,Fence Creek,O4,No Pred,-1,Fence4,104,21,-83,-0.798076923,0.6,0.9,0.5,417.4,4.174,0.207970112,,,,,,,0.047263823,0.030206247,-0.017057576,-0.360901318
2016,Fence Creek,O5,No Pred,-1,Fence5,63,46,-17,-0.26984127,0.35,0.01,-0.971428571,233,2.33,0.15802269,,,,,,,0.04903857,0.03102114,-0.01801743,-0.367413446
2016,Fence Creek,O6,No Pred,-1,Fence6,41,12,-29,-0.707317073,0.8,0.95,0.1875,473,4.73,0.139151914,,,,,,,0.047770052,0.031300369,-0.016469683,-0.344770045
2016,Fence Creek,P1,Pred,1,Fence1,,12,,,0.9,0.8,-0.111111111,514.8,5.148,0.223173516,,,,,,,0.050212293,0.030884398,-0.019327895,-0.384923568
2016,Fence Creek,P2,Pred,1,Fence2,83,11,-72,-0.86746988,0.8,0.95,0.1875,464,4.64,0.219342897,,,,,,,0.052674764,,,
2016,Fence Creek,P3,Pred,1,Fence3,67,12,-55,-0.820895522,0.6,0.9,0.5,183.7,1.837,0.219549642,,,,,,,0.049460593,0.028959441,-0.020501152,-0.414494666
2016,Fence Creek,P4,Pred,1,Fence4,77,22,-55,-0.714285714,0.85,1,0.176470588,447.9,4.479,0.207823961,,,,,,,0.049610852,0.03082629,-0.018784562,-0.378638166
2016,Fence Creek,P5,Pred,1,Fence5,91,22,-69,-0.758241758,0.4,0.4,0,133.3,1.333,0.154653604,,,,,,,0.048620765,0.030736355,-0.01788441,-0.367834813
2016,Fence Creek,P6,Pred,1,Fence6,34,42,8,0.235294118,0.8,0.95,0.1875,435.8,4.358,0.14233279,,,,,,,0.047931046,0.030833767,-0.017097279,-0.356705735
2016,Hammonasset Beach,B1,Control,0,Hamm1,17,31,14,0.823529412,0.7,0.7,0,196.8,1.968,0.261136713,0.295839753,0.03470304,0.13289223,,,,0.049460402,0.031408574,-0.018051828,-0.364975359
2016,Hammonasset Beach,B2,Control,0,Hamm2,31,7,-24,-0.774193548,0.3,1,2.333333333,271.4,2.714,0.289122137,0.288659794,-0.000462343,-0.001599127,,,,0.049211353,0.033644311,-0.015567042,-0.316330299
2016,Hammonasset Beach,B3,Control,0,Hamm3,22,26,4,0.181818182,0.9,0.8,-0.111111111,374,3.74,0.156050955,0.130982368,-0.025068587,-0.160643599,,,,0.050554375,0.033486093,-0.017068282,-0.337622253
2016,Hammonasset Beach,B4,Control,0,Hamm4,68,38,-30,-0.441176471,0.8,0.7,-0.125,272.6,2.726,0.132879476,0.127400768,-0.005478708,-0.041230656,,,,0.055270859,0.033461897,-0.021808962,-0.394583373
2016,Hammonasset Beach,B5,Control,0,Hamm5,75,23,-52,-0.693333333,0.6,0.7,0.166666667,310.3,3.103,0.173841738,0.159746657,-0.014095081,-0.081079959,,,,0.052086546,0.036775801,-0.015310745,-0.293948172
2016,Hammonasset Beach,O1,No Pred,-1,Hamm1,69,62,-7,-0.101449275,0.6,0.9,0.5,587.3,5.873,0.177533893,0.172897196,-0.004636697,-0.02611725,,,,0.050943383,,,
2016,Hammonasset Beach,O2,No Pred,-1,Hamm2,81,39,-42,-0.518518519,0.9,0.85,-0.055555556,385.2,3.852,0.288230584,0.265917603,-0.022312981,-0.077413648,,,,0.05027371,0.032230334,-0.018043376,-0.358902814
2016,Hammonasset Beach,O3,No Pred,-1,Hamm3,,6,,,0.85,1,0.176470588,480,4.8,0.15426568,0.170731707,0.016466027,0.106738109,,,,0.06104152,0.03252664,-0.02851488,-0.467139088
2016,Hammonasset Beach,O4,No Pred,-1,Hamm4,19,26,7,0.368421053,0.65,0.8,0.230769231,261.4,2.614,0.325768668,0.292682927,-0.033085741,-0.101562072,,,,0.054404591,0.032720119,-0.021684472,-0.39857798
2016,Hammonasset Beach,O5,No Pred,-1,Hamm5,44,47,3,0.068181818,0.7,0.9,0.285714286,439.2,4.392,0.195049505,0.157601116,-0.037448389,-0.191994279,,,,0.051141251,0.032182477,-0.018958774,-0.370713927
2016,Hammonasset Beach,P1,Pred,1,Hamm1,76,48,-28,-0.368421053,0.6,0.9,0.5,634.2,6.342,0.180806676,0.166944908,-0.013861768,-0.07666624,,,,0.050010934,0.028776773,-0.021234161,-0.424590371
2016,Hammonasset Beach,P2,Pred,1,Hamm2,83,43,-40,-0.481927711,0.5,0.6,0.2,236,2.36,0.256075874,0.208034433,-0.048041441,-0.187606276,,,,0.050327563,0.031257449,-0.019070114,-0.378919877
2016,Hammonasset Beach,P3,Pred,1,Hamm3,,1,,,0.8,0.9,0.125,223.2,2.232,0.191192266,0.184755592,-0.006436674,-0.033665975,,,,0.049847118,0.034763815,-0.015083303,-0.302591275
2016,Hammonasset Beach,P4,Pred,1,Hamm4,,0,,,0.7,0.75,0.071428571,152.7,1.527,0.258252427,0.247910864,-0.010341563,-0.040044398,,,,0.052104737,0.034122307,-0.01798243,-0.345120828
2016,Hammonasset Beach,P5,Pred,1,Hamm5,73,72,-1,-0.01369863,0.85,1,0.176470588,648.8,6.488,0.151989271,0.141785958,-0.010203313,-0.067131798,,,,0.051596337,0.030956671,-0.020639666,-0.400021924
